gtin;sku;stock
;8333-35-ROSSO;0
;8333-35-VERDE;0
;8333-36-NERO;0
;8333-36-ROSSO;0
;8333-36-VERDE;0
;8333-37-NERO;0
;8333-37-ROSSO;0
;8333-37-VERDE;0
;8333-38-NERO;0
;8333-38-ROSSO;0
;8333-38-VERDE;0
;8333-39-NERO;0
;8333-39-ROSSO;0
;8333-39-VERDE;0
;8333-40-NERO;0
;8333-40-ROSSO;0
;8333-40-VERDE;0
;8333-41-NERO;0
;8333-41-ROSSO;0
;8333-41-VERDE;0
;90700-L-BIANCO;0
;90700-L-NUDE;0
;90700-M-BIANCO;0
;90700-M-NUDE;0
;90700-XL-BIANCO;0
;90700-XXL-BIANCO;0
;90700-XXL-NUDE;0
;92030-L-BLU;0
;92030-L-GRIGIO;0
;92030-L-LILLA;0
;92030-M-BLU;0
;92030-M-LILLA;0
;92030-XL-BLU;0
;92030-XL-LILLA;0
;92034-L-BLU;0
;92034-L-GRIGIO;0
;92034-L-ROSA;0
;92034-M-BLU;0
;92034-M-GRIGIO;0
;92034-M-ROSA;0
;92034-XL-BLU;0
;92034-XL-GRIGIO;0
;92034-XL-ROSA;0
;990704S-L-BIANCO;0
;990704S-L-SKIN;0
;990704S-M-BIANCO;0
;990704S-M-NERO;0
;990704S-M-SKIN;0
;990704S-S-BIANCO;0
;990704S-S-NERO;0
;990704S-XL-BIANCO;0
;APR5370-38-NERO;0
;APR5370-39-NERO;0
;APR5384-38-NERO;0
;APR5386-38-NERO;0
;APR5386-37-NERO;0
;BIA92010S-L-BIANCO;0
;BIA92010S-M-BIANCO;0
;BIA92010S-S-BIANCO;0
;BIA92010S-XL-BIANCO;0
;BIA92012S-L-BIANCO;0
;"BIA92012S-L-BLU MARINO";0
;BIA92012S-L-NERO;0
;BIA92012S-M-BIANCO;0
;"BIA92012S-M-BLU MARINO";0
;BIA92012S-M-NERO;0
;BIA92012S-S-BIANCO;0
;"BIA92012S-S-BLU MARINO";0
;BIA92012S-S-NERO;0
;BIA92012S-XL-BIANCO;0
;"BIA92012S-XL-BLU MARINO";0
;BIA92012S-XL-NERO;0
;BIA92013S-L-BLU;0
;BIA92013S-L-CORALLO;0
;BIA92013S-L-NERO;0
;BIA92013S-M-BLU;0
;BIA92013S-M-CORALLO;0
;BIA92013S-M-NERO;0
;BIA92013S-S-BLU;0
;BIA92013S-S-CORALLO;0
;BIA92013S-S-NERO;0
;BIA92013S-XL-BLU;0
;BIA92013S-XL-CORALLO;0
;BIA92013S-XL-NERO;0
;BIA92014S-L-BLU;0
;BIA92014S-M-BLU;0
;BIA92014S-S-BLU;0
;BIA92014S-XL-BLU;0
;CLU5750-35-MARRONE;0
;CLU5750-35-NERO;0
;CLU5750-36-MARRONE;0
;CLU5750-36-NERO;0
;CLU5750-37-MARRONE;0
;CLU5750-37-NERO;0
;CLU5750-39-MARRONE;0
;CLU5750-38-MARRONE;0
;CLU5750-39-NERO;0
;CLU5750-40-MARRONE;0
;CLU5750-40-NERO;0
;CLU5750-38-NERO;0
;CLU5750-41-NERO;0
;CLU5753-35-MARRONE;0
;CLU5753-36-MARRONE;0
;CLU5753-36-NERO;0
;CLU5753-37-MARRONE;0
;CLU5753-37-NERO;0
;CLU5753-38-MARRONE;0
;CLU5753-38-NERO;0
;CLU5753-39-MARRONE;0
;CLU5753-39-NERO;0
;CLU5753-40-MARRONE;0
;CLU5753-40-NERO;0
;CLU5753-41-MARRONE;0
;CLU5753-41-NERO;0
;CLU5754-37-NERO;0
;CLU5756-36-NERO;0
;CLU5756-37-NERO;0
;CLU5756-38-NERO;0
;CLU5756-39-NERO;0
;CLU5756-40-NERO;0
;CLU5756-41-NERO;0
;CLU5760-37-NERO;0
;CLU5760-38-NERO;0
;CLU5760-39-NERO;0
;CLU5760-40-NERO;0
;CLU5760-41-NERO;0
;CLU5761-36-MARRONE;0
;CLU5761-36-NERO;0
;CLU5761-37-MARRONE;0
;CLU5761-37-NERO;0
;CLU5761-38-MARRONE;0
;CLU5761-38-NERO;0
;CLU5761-39-MARRONE;0
;CLU5761-39-NERO;0
;CLU5761-40-MARRONE;0
;CLU5761-40-NERO;0
;CLU5762-35-MARRONE;0
;CLU5762-36-MARRONE;0
;CLU5762-36-NERO;0
