C01-EAN;C03-COM_REF;C04-PHYS_REF;C05-GLOBAL_BRAND;C06-COLOR;C07-NAME;C08-DESCRIPTION;C09-COMPOSITION_MATERIAL;C10-PRODUCT_DIMENSIONS;C16-PRODUCT_TEMPLATE;C17-GENDER;C18-SIZE;C19-SEC_ATT;C20-WEB_SIZE;C21-RRP_WO_VAT;C21-RRP_WITH_VAT;C22-IMAGE_1;C23-IMAGE_2;C24-IMAGE_3;C25-IMAGE_4;C26-IMAGE_5;"special price"
;126486-35-NERO;;"LE MATTO";Arancione;"SANDALO DONNA";;"TACCO 9 CM MADE IN ITALY";;"ITALIA>>ABBIGLIAMENTO BOTTOM>>Pantaloni>>Pinocchietto";WOMEN;35;;;90;109.8;http://outlet.test3d0.it/img/9484/or/126486ne-3.jpg;http://outlet.test3d0.it/img/9485/or/126486ne-1.jpg;http://outlet.test3d0.it/img/9486/or/126486ne-2.jpg;;;45.018
;126486-36-NERO;;"LE MATTO";Arancione;"SANDALO DONNA";;"TACCO 9 CM MADE IN ITALY";;"ITALIA>>ABBIGLIAMENTO BOTTOM>>Pantaloni>>Pinocchietto";WOMEN;36;;;90;109.8;http://outlet.test3d0.it/img/9487/or/126486ne-3.jpg;http://outlet.test3d0.it/img/9488/or/126486ne-1.jpg;http://outlet.test3d0.it/img/9489/or/126486ne-2.jpg;;;45.018
;126486-37-NERO;;"LE MATTO";Arancione;"SANDALO DONNA";;"TACCO 9 CM MADE IN ITALY";;"ITALIA>>ABBIGLIAMENTO BOTTOM>>Pantaloni>>Pinocchietto";WOMEN;37;;;90;109.8;http://outlet.test3d0.it/img/9490/or/126486ne-3.jpg;http://outlet.test3d0.it/img/9491/or/126486ne-1.jpg;http://outlet.test3d0.it/img/9492/or/126486ne-2.jpg;;;45.018
;126486-38-AJR;;"LE MATTO";;"SANDALO DONNA";;"TACCO 9 CM MADE IN ITALY";;"ITALIA>>ABBIGLIAMENTO BOTTOM>>Pantaloni>>Pinocchietto";WOMEN;38;;;90;109.8;http://outlet.test3d0.it/img/9986/or/126486-1.jpg;http://outlet.test3d0.it/img/9987/or/126486-2.jpg;http://outlet.test3d0.it/img/9988/or/126486-3.jpg;;;45.018
;126486-38-NERO;;"LE MATTO";Arancione;"SANDALO DONNA";;"TACCO 9 CM MADE IN ITALY";;"ITALIA>>ABBIGLIAMENTO BOTTOM>>Pantaloni>>Pinocchietto";WOMEN;38;;;90;109.8;http://outlet.test3d0.it/img/9496/or/126486ne-3.jpg;http://outlet.test3d0.it/img/9497/or/126486ne-1.jpg;http://outlet.test3d0.it/img/9498/or/126486ne-2.jpg;;;45.018
;126486-39-NERO;;"LE MATTO";Arancione;"SANDALO DONNA";;"TACCO 9 CM MADE IN ITALY";;"ITALIA>>ABBIGLIAMENTO BOTTOM>>Pantaloni>>Pinocchietto";WOMEN;39;;;90;109.8;http://outlet.test3d0.it/img/9499/or/126486ne-3.jpg;http://outlet.test3d0.it/img/9500/or/126486ne-1.jpg;http://outlet.test3d0.it/img/9501/or/126486ne-2.jpg;;;45.018
;126486-40-NERO;;"LE MATTO";Arancione;"SANDALO DONNA";;"TACCO 9 CM MADE IN ITALY";;"ITALIA>>ABBIGLIAMENTO BOTTOM>>Pantaloni>>Pinocchietto";WOMEN;40;;;90;109.8;http://outlet.test3d0.it/img/9502/or/126486ne-3.jpg;http://outlet.test3d0.it/img/9503/or/126486ne-1.jpg;http://outlet.test3d0.it/img/9504/or/126486ne-2.jpg;;;45.018
;126486-41-NERO;;"LE MATTO";Arancione;"SANDALO DONNA";;"TACCO 9 CM MADE IN ITALY";;"ITALIA>>ABBIGLIAMENTO BOTTOM>>Pantaloni>>Pinocchietto";WOMEN;41;;;90;109.8;http://outlet.test3d0.it/img/9505/or/126486ne-3.jpg;http://outlet.test3d0.it/img/9506/or/126486ne-1.jpg;http://outlet.test3d0.it/img/9507/or/126486ne-2.jpg;;;45.018
;126497-35-NERO;;"LE MATTO";Arancione;"SANDALO DONNA";;"PELLE MADE IN ITALY";;"ITALIA>>ABBIGLIAMENTO BOTTOM>>Pantaloni>>Pinocchietto";WOMEN;35;;;90;109.8;;;;;;45.018
;126497-36-GIALLO;;"LE MATTO";Argento;"SANDALO DONNA";;"PELLE MADE IN ITALY";;"ITALIA>>ABBIGLIAMENTO BOTTOM>>Pantaloni>>Pinocchietto";WOMEN;36;;;90;109.8;http://outlet.test3d0.it/img/9989/or/126497gia.jpg;http://outlet.test3d0.it/img/9990/or/126497gia-1.jpg;;;;45.018
