C01-EAN;C03-COM_REF;C04-PHYS_REF;C05-GLOBAL_BRAND;C06-COLOR;C07-NAME;C08-DESCRIPTION;C09-COMPOSITION_MATERIAL;C10-PRODUCT_DIMENSIONS;C16-PRODUCT_TEMPLATE;C17-GENDER;C18-SIZE;C19-SEC_ATT;C20-WEB_SIZE;C21-RRP_WO_VAT;C21-RRP_WITH_VAT;C22-IMAGE_1;C23-IMAGE_2;C24-IMAGE_3;C25-IMAGE_4;C26-IMAGE_5;"special price"
;126486-35-NERO;;"LE MATTO";Nero;"SANDALO DONNA";;"TACCO 9 CM MADE IN ITALY";;;WOMEN;35;;;90;109.8;"/img/9484/or/SANDALO DONNA";"/img/9485/or/SANDALO DONNA";"/img/9486/or/SANDALO DONNA";;;45.018
;126486-36-NERO;;"LE MATTO";Nero;"SANDALO DONNA";;"TACCO 9 CM MADE IN ITALY";;;WOMEN;36;;;90;109.8;"/img/9487/or/SANDALO DONNA";"/img/9488/or/SANDALO DONNA";"/img/9489/or/SANDALO DONNA";;;45.018
;126486-37-NERO;;"LE MATTO";Nero;"SANDALO DONNA";;"TACCO 9 CM MADE IN ITALY";;;WOMEN;37;;;90;109.8;"/img/9490/or/SANDALO DONNA";"/img/9491/or/SANDALO DONNA";"/img/9492/or/SANDALO DONNA";;;45.018
;126486-38-AJR;;"LE MATTO";;"SANDALO DONNA";;"TACCO 9 CM MADE IN ITALY";;;WOMEN;38;;;90;109.8;"/img/9986/or/SANDALO DONNA";"/img/9987/or/SANDALO DONNA";"/img/9988/or/SANDALO DONNA";;;45.018
;126486-38-NERO;;"LE MATTO";Nero;"SANDALO DONNA";;"TACCO 9 CM MADE IN ITALY";;;WOMEN;38;;;90;109.8;"/img/9496/or/SANDALO DONNA";"/img/9497/or/SANDALO DONNA";"/img/9498/or/SANDALO DONNA";;;45.018
;126486-39-NERO;;"LE MATTO";Nero;"SANDALO DONNA";;"TACCO 9 CM MADE IN ITALY";;;WOMEN;39;;;90;109.8;"/img/9499/or/SANDALO DONNA";"/img/9500/or/SANDALO DONNA";"/img/9501/or/SANDALO DONNA";;;45.018
;126486-40-NERO;;"LE MATTO";Nero;"SANDALO DONNA";;"TACCO 9 CM MADE IN ITALY";;;WOMEN;40;;;90;109.8;"/img/9502/or/SANDALO DONNA";"/img/9503/or/SANDALO DONNA";"/img/9504/or/SANDALO DONNA";;;45.018
;126486-41-NERO;;"LE MATTO";Nero;"SANDALO DONNA";;"TACCO 9 CM MADE IN ITALY";;;WOMEN;41;;;90;109.8;"/img/9505/or/SANDALO DONNA";"/img/9506/or/SANDALO DONNA";"/img/9507/or/SANDALO DONNA";;;45.018
;126497-35-NERO;;"LE MATTO";Nero;"SANDALO DONNA";;"PELLE MADE IN ITALY";;;WOMEN;35;;;90;109.8;;;;;;45.018
;126497-36-GIALLO;;"LE MATTO";GIALLO;"SANDALO DONNA";;"PELLE MADE IN ITALY";;;WOMEN;36;;;90;109.8;"/img/9989/or/SANDALO DONNA";"/img/9990/or/SANDALO DONNA";;;;45.018
